task_id,expected_resolution,must_escalate,required_evidence,category,issue,severity,expected_action
TASK-DEV-0001,refund,False,"[""DOC-1002"", ""TXN-40101"", ""TXN-40102""]",billing,duplicate_payment,medium,"{""tool"": ""issue_refund"", ""params"": {""transaction_id"": ""TXN-40102"", ""amount"": 99.0, ""reason"": ""duplicate payment per DOC-1002""}}"
TASK-DEV-0002,deny,False,"[""DOC-1002"", ""TXN-40103"", ""TXN-40104""]",billing,duplicate_payment,low,"{""tool"": ""none"", ""params"": {}}"
TASK-DEV-0003,deny,False,"[""DOC-1002"", ""TXN-40105""]",billing,duplicate_payment,medium,"{""tool"": ""none"", ""params"": {}}"
TASK-DEV-0004,escalate,True,"[""DOC-1842"", ""DOC-1002"", ""TXN-40107""]",billing,duplicate_payment,high,"{""tool"": ""escalate_case"", ""params"": {""case_id"": ""CASE-40107"", ""team"": ""billing_specialists"", ""reason"": ""active chargeback hold on TXN-40107 prohibits automatic refund per DOC-1842""}}"
TASK-DEV-0005,refund,False,"[""DOC-1002"", ""TXN-40108"", ""TXN-40109""]",billing,duplicate_payment,medium,"{""tool"": ""issue_refund"", ""params"": {""transaction_id"": ""TXN-40109"", ""amount"": 100.0, ""reason"": ""remaining balance refund on duplicate payment per DOC-1002""}}"
TASK-DEV-0006,refund,False,"[""DOC-1001"", ""TXN-40110""]",billing,refund_request,low,"{""tool"": ""issue_refund"", ""params"": {""transaction_id"": ""TXN-40110"", ""amount"": 150.0, ""reason"": ""eligible refund within 30-day window per DOC-1001""}}"
TASK-DEV-0007,deny,False,"[""DOC-1001"", ""TXN-40111""]",billing,refund_request,low,"{""tool"": ""none"", ""params"": {}}"
TASK-DEV-0008,escalate,True,"[""DOC-1842"", ""DOC-1001"", ""TXN-40112""]",billing,refund_request,high,"{""tool"": ""escalate_case"", ""params"": {""case_id"": ""CASE-40112"", ""team"": ""billing_specialists"", ""reason"": ""active chargeback hold prohibits automatic refund on TXN-40112 per DOC-1842""}}"
TASK-DEV-0009,deny,False,"[""DOC-1001"", ""DOC-0991"", ""TXN-40113""]",billing,refund_request,medium,"{""tool"": ""none"", ""params"": {}}"
TASK-DEV-0010,deny,False,"[""DOC-1001"", ""TXN-40114""]",billing,refund_request,high,"{""tool"": ""none"", ""params"": {}}"
TASK-DEV-0011,refund,False,"[""DOC-1003"", ""SUB-40115""]",subscription,cancellation,low,"{""tool"": ""cancel_subscription"", ""params"": {""customer_id"": ""CUS-50000011"", ""subscription_id"": ""SUB-40115""}}"
TASK-DEV-0012,deny,False,"[""DOC-1003"", ""SUB-40116""]",subscription,cancellation,medium,"{""tool"": ""none"", ""params"": {}}"
TASK-DEV-0013,escalate,True,"[""DOC-1003"", ""SUB-40117""]",subscription,cancellation,high,"{""tool"": ""escalate_case"", ""params"": {""case_id"": ""CASE-40117"", ""team"": ""retention_specialists"", ""reason"": ""unresolved billing dispute on SUB-40117 requires escalation per DOC-1003""}}"
TASK-DEV-0014,refund,False,"[""DOC-1003"", ""SUB-40118""]",subscription,cancellation,medium,"{""tool"": ""cancel_subscription"", ""params"": {""customer_id"": ""CUS-50000014"", ""subscription_id"": ""SUB-40118""}}"
TASK-DEV-0015,request_info,False,"[""DOC-1005"", ""DOC-1003"", ""CUS-50000015""]",subscription,cancellation,high,"{""tool"": ""request_verification"", ""params"": {""customer_id"": ""CUS-50000015"", ""verification_type"": ""identity""}}"
TASK-DEV-0016,refund,False,"[""DOC-1004"", ""DOC-2001"", ""TXN-40120""]",fulfillment,delivery_dispute,medium,"{""tool"": ""issue_refund"", ""params"": {""transaction_id"": ""TXN-40120"", ""amount"": 249.0, ""reason"": ""lost in transit courier confirmed""}}"
