id,customer_id,amount,currency,date,status,description,invoice_id,chargeback_status,under_fraud_investigation,refund_status,refunded_amount,payment_method
TXN-1020001,CUS-1001024,199.0,USD,2026-06-24T21:00:00+00:00,completed,Service charge for invoice INV-1010001,INV-1010001,none,False,none,0.0,credit_card_visa
TXN-1020002,CUS-1001030,49.0,USD,2026-08-20T03:00:00+00:00,completed,Service charge for invoice INV-1010002,INV-1010002,none,False,none,0.0,credit_card_visa
TXN-1020003,CUS-1001044,29.0,USD,2026-08-12T22:00:00+00:00,completed,Service charge for invoice INV-1010003,INV-1010003,none,False,none,0.0,credit_card_visa
TXN-1020004,CUS-1001029,990.0,USD,2026-08-02T09:00:00+00:00,completed,Service charge for invoice INV-1010004,INV-1010004,none,False,none,0.0,credit_card_visa
TXN-1020005,CUS-1001002,29.0,USD,2026-07-30T09:00:00+00:00,completed,Service charge for invoice INV-1010005,INV-1010005,none,False,none,0.0,credit_card_visa
TXN-1020006,CUS-1001059,199.0,USD,2026-08-24T03:00:00+00:00,completed,Service charge for invoice INV-1010006,INV-1010006,none,False,none,0.0,credit_card_visa
TXN-1020007,CUS-1001027,499.0,USD,2026-08-16T19:00:00+00:00,completed,Service charge for invoice INV-1010007,INV-1010007,none,False,none,0.0,credit_card_visa
TXN-1020008,CUS-1001035,29.0,USD,2026-06-20T20:00:00+00:00,completed,Service charge for invoice INV-1010008,INV-1010008,none,False,none,0.0,credit_card_visa
TXN-1020009,CUS-1001046,99.0,USD,2026-06-18T04:00:00+00:00,completed,Service charge for invoice INV-1010009,INV-1010009,none,False,none,0.0,credit_card_visa
TXN-1020010,CUS-1001024,499.0,USD,2026-06-24T21:00:00+00:00,completed,Service charge for invoice INV-1010010,INV-1010010,investigation_active,True,none,0.0,credit_card_visa
TXN-1020011,CUS-1001045,49.0,USD,2026-07-28T14:00:00+00:00,completed,Service charge for invoice INV-1010011,INV-1010011,none,False,none,0.0,credit_card_visa
TXN-1020012,CUS-1001003,499.0,USD,2026-07-05T11:00:00+00:00,completed,Service charge for invoice INV-1010012,INV-1010012,none,False,none,0.0,credit_card_visa
TXN-1020013,CUS-1001048,499.0,USD,2026-07-17T10:00:00+00:00,completed,Service charge for invoice INV-1010013,INV-1010013,none,False,none,0.0,credit_card_visa
TXN-1020014,CUS-1001039,990.0,USD,2026-07-31T06:00:00+00:00,completed,Service charge for invoice INV-1010014,INV-1010014,none,False,none,0.0,credit_card_visa
