id,customer_id,plan,billing_cycle,amount,status,start_date,renewal_date,lock_in_until,has_approved_exception,has_unresolved_dispute
SUB-40115,CUS-50000011,Developer Pro Monthly,monthly,49.0,active,2026-06-15T00:00:00Z,2026-10-15T00:00:00Z,,False,False
SUB-40116,CUS-50000012,Enterprise Annual Committed,annual,990.0,active,2026-01-01T00:00:00Z,2026-12-31T23:59:59Z,2026-12-31T23:59:59Z,False,False
SUB-40117,CUS-50000013,Team Standard,monthly,49.0,active,2026-05-01T00:00:00Z,2026-10-01T00:00:00Z,,False,True
SUB-40118,CUS-50000014,Enterprise Annual Dedicated,annual,990.0,active,2026-02-01T00:00:00Z,2026-12-31T23:59:59Z,2026-12-31T23:59:59Z,True,False
SUB-40119,CUS-50000015,Business Standard,monthly,19.0,active,2026-04-01T00:00:00Z,2026-10-01T00:00:00Z,,False,False
SUB-50005001,CUS-50001001,pro_annual,annual,990.0,active,2025-10-13T00:00:00+00:00,2026-10-13T00:00:00+00:00,2026-10-13T00:00:00+00:00,False,False
SUB-50005002,CUS-50001002,pro_monthly,monthly,99.0,active,2025-12-29T00:00:00+00:00,2026-01-28T00:00:00+00:00,,False,False
SUB-50005003,CUS-50001003,pro_annual,annual,990.0,active,2026-02-27T00:00:00+00:00,2027-02-27T00:00:00+00:00,2027-02-27T00:00:00+00:00,False,False
SUB-50005004,CUS-50001004,pro_monthly,monthly,99.0,active,2026-07-30T00:00:00+00:00,2026-08-29T00:00:00+00:00,,False,False
SUB-50005005,CUS-50001005,pro_monthly,monthly,99.0,active,2025-11-14T00:00:00+00:00,2025-12-14T00:00:00+00:00,,False,False
SUB-50005006,CUS-50001006,pro_monthly,monthly,99.0,active,2025-10-26T00:00:00+00:00,2025-11-25T00:00:00+00:00,,False,False
SUB-50005007,CUS-50001007,starter_monthly,monthly,29.0,active,2026-02-04T00:00:00+00:00,2026-03-06T00:00:00+00:00,,False,False
SUB-50005008,CUS-50001008,enterprise_annual,annual,4990.0,active,2026-05-04T00:00:00+00:00,2027-05-04T00:00:00+00:00,2027-05-04T00:00:00+00:00,False,False
SUB-50005009,CUS-50001009,pro_annual,annual,990.0,active,2026-01-29T00:00:00+00:00,2027-01-29T00:00:00+00:00,2027-01-29T00:00:00+00:00,False,False
SUB-50005010,CUS-50001010,pro_monthly,monthly,99.0,active,2025-12-04T00:00:00+00:00,2026-01-03T00:00:00+00:00,,False,False
SUB-50115,CUS-50001011,pro_monthly,monthly,49.0,active,2026-03-01T00:00:00+00:00,2026-10-01T00:00:00+00:00,,False,False
SUB-50116,CUS-50001012,enterprise_annual,annual,990.0,active,2026-01-01T00:00:00+00:00,2027-01-01T00:00:00+00:00,2027-06-30T00:00:00+00:00,False,False
SUB-50117,CUS-50001013,pro_monthly,monthly,49.0,active,2026-02-15T00:00:00+00:00,2026-10-15T00:00:00+00:00,,False,True
SUB-50118,CUS-50001014,enterprise_annual,annual,990.0,active,2025-11-01T00:00:00+00:00,2026-11-01T00:00:00+00:00,2027-08-15T00:00:00+00:00,True,False
SUB-50119,CUS-50001015,starter_monthly,monthly,19.0,active,2026-04-10T00:00:00+00:00,2026-10-10T00:00:00+00:00,,False,False
SUB-50005016,CUS-50001016,enterprise_annual,annual,4990.0,active,2026-01-27T00:00:00+00:00,2027-01-27T00:00:00+00:00,2027-01-27T00:00:00+00:00,False,False
SUB-50005017,CUS-50001017,enterprise_annual,annual,4990.0,active,2025-10-22T00:00:00+00:00,2026-10-22T00:00:00+00:00,2026-10-22T00:00:00+00:00,False,False
SUB-50005018,CUS-50001018,starter_monthly,monthly,29.0,active,2026-06-10T00:00:00+00:00,2026-07-10T00:00:00+00:00,,False,False
SUB-50005019,CUS-50001019,pro_monthly,monthly,99.0,active,2026-02-14T00:00:00+00:00,2026-03-16T00:00:00+00:00,,False,False
SUB-50005020,CUS-50001020,enterprise_annual,annual,4990.0,active,2026-04-03T00:00:00+00:00,2027-04-03T00:00:00+00:00,2027-04-03T00:00:00+00:00,False,False
SUB-50005021,CUS-50001021,starter_monthly,monthly,29.0,active,2025-11-25T00:00:00+00:00,2025-12-25T00:00:00+00:00,,False,False
SUB-50005022,CUS-50001022,starter_monthly,monthly,29.0,active,2026-08-02T00:00:00+00:00,2026-09-01T00:00:00+00:00,,False,False
SUB-50005023,CUS-50001023,pro_annual,annual,990.0,active,2025-12-01T00:00:00+00:00,2026-12-01T00:00:00+00:00,2026-12-01T00:00:00+00:00,False,False
